# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
144.3000 M41$1 10000 79 84.3000 s40 p103 58 N s40->s25->s73->c151->p101->c127->c248->c176->c143->c152->c171->c251->c227->c211->c225->c125->c189->c239->c134->s17->s97->c199->c231->c242->c138->c217->c121->s38->c110->s4->c200->s65->s45->s86->s60->s7->c193->s61->s41->s43->c212->c220->s81->s90->c183->s28->s59->s0->c180->c181->c246->s72->s51->c157->c129->c146->c213->s98->c198->s74->c223->c119->c236->c240->c116->c107->c174->c185->c224->c114->c159->p100->c229->c209->c139->c120->c228->c243->c204->p103
144.3000 M46$1 10000 47 84.3000 s45 p103 58 N s45->s86->s60->s7->c193->s61->s41->s43->c212->c220->s81->s90->c183->s28->s59->s0->c180->c181->c246->s72->s51->c157->c129->c146->c213->s98->c198->s74->c223->c119->c236->c240->c116->c107->c174->c185->c224->c114->c159->p100->c229->c209->c139->c120->c228->c243->c204->p103
144.3000 M42$1 10000 42 84.3000 s41 p103 58 N s41->s43->s61->c212->c220->s81->s90->c183->s28->s59->s0->c180->c181->c246->s72->s51->c157->c129->c146->c213->s98->c198->s74->c223->c119->c236->c240->c116->c107->c174->c185->c224->c114->c159->p100->c229->c209->c139->c120->c228->c243->c204->p103
144.3000 M10$2 10000 32 24.3000 s9 p103 59 N s9->s0->c181->c246->s72->s51->c157->c129->c146->c213->s98->c198->s74->c223->c119->c236->c240->c116->c107->c174->c185->c224->c114->c159->p100->c229->c209->c139->c120->c228->c243->c204->p103
144.3000 M1$2 10000 31 24.3000 s0 p103 59 N s0->c181->c246->s72->s51->c157->c129->c146->c213->s98->c198->s74->c223->c119->c236->c240->c116->c107->c174->c185->c224->c114->c159->p100->c229->c209->c139->c120->c228->c243->c204->p103
144.3000 M29$1 10000 30 84.3000 s28 p103 58 N s28->s59->s0->s9->s67->s35->c149->c117->s98->c198->s74->c223->c119->c236->c240->c116->c107->c174->c185->c224->c114->c159->p100->c229->c209->c139->c120->c228->c243->c204->p103
144.3000 M4$1 10000 34 84.3000 s3 p103 58 N s3->s10->s34->s24->s54->c136->s50->c154->c157->s51->c146->c241->s98->c198->s74->c223->c119->c236->c240->c116->c107->c174->c185->c224->c114->c159->p100->c229->c209->c139->c120->c228->c243->c204->p103
144.7000 M12$2 10000 2 24.7000 s11 p102 59 N s11->c113->p102
152.3000 M43$2 10000 47 32.3000 s42 p100 59 N s42->s30->s84->s20->s71->s58->c220->c217->c109->c133->s28->s59->s0->s9->s67->s35->c149->c183->c162->c108->c163->c237->c221->c235->c115->c107->c116->c174->c240->c187->c119->c223->c122->c236->s56->c250->s83->s37->s66->c148->c123->c130->c114->c224->c135->c159->c229->p100
152.3000 M14$2 10000 48 32.3000 s13 p100 59 N s13->s42->s30->s84->s20->s71->s58->c220->c217->c109->c133->s28->s59->s0->s9->s67->s35->c149->c183->c162->c108->c163->c237->c221->c235->c115->c107->c116->c174->c240->c187->c119->c223->c122->c236->s56->c250->s83->s37->s66->c148->c123->c130->c114->c224->c135->c159->c229->p100
152.3000 M49$2 10000 52 32.3000 s48 p100 59 N s48->s15->c172->s90->s81->c230->c109->c220->c217->s20->s84->s30->s58->s71->c133->s28->s59->s0->s9->s67->s35->c149->c183->c162->c108->c163->c237->c221->c235->c115->c107->c116->c174->c240->c187->c119->c223->c122->c236->s56->c250->s83->s37->s66->c148->c123->c130->c114->c224->c135->c159->c229->p100
153.8000 M25$2 10000 29 33.8000 s24 p101 59 N s24->s34->s10->s3->s78->s54->c136->s50->c178->c129->s51->s72->c246->c181->s0->s9->s59->s28->s89->c117->c208->s18->s93->s65->s45->c144->s73->s25->s40->p101
153.8000 M38$1 10000 32 93.8000 s37 p101 58 N s37->c130->c168->c141->c201->c229->s83->c250->s56->c236->c116->c119->c122->c118->c223->s74->c198->s35->s67->s0->s9->s59->s28->s89->c117->s60->s86->s45->c144->s73->s25->s40->p101
153.8000 M36$2 10000 17 33.8000 s35 p101 59 N s35->s67->s0->s9->s59->s28->s89->c117->c208->s18->s93->s65->s45->c144->s73->s25->s40->p101
153.8000 M7$1 10000 41 93.8000 s6 p101 58 N s6->s77->c216->c113->c222->c201->c141->s37->c130->c168->c197->c195->c148->s66->s83->c229->c250->s56->c236->c116->c119->c122->c118->c223->s74->c198->s35->s67->s0->s9->s59->s28->s89->c117->s60->s86->s45->c144->s73->s25->s40->p101
153.8000 M29$2 10000 12 33.8000 s28 p101 59 N s28->s89->c117->c208->s18->s93->s65->s45->c144->s73->s25->s40->p101
153.8000 M35$2 10000 29 33.8000 s34 p101 59 N s34->s10->s3->s78->s24->s54->c136->s50->c178->c129->s51->s72->c246->c181->s0->s9->s59->s28->s89->c117->c208->s18->s93->s65->s45->c144->s73->s25->s40->p101
153.8000 M31$2 10000 21 33.8000 s30 p101 59 N s30->s84->s20->s71->s58->c220->c217->c109->c133->s28->s89->c117->c208->s18->s93->s65->s45->c144->s73->s25->s40->p101
